nome,views,subs,videos,uploads_id,nation
Dream,2937532450,31500000,116,UUTkXRDQl0luXxVQrRQvWS6w,Gringo
Tonigon,472813323,2230000,406,UUukwGwBD-pAbGzoJo6ZXPtQ,Brasileiro
Redzinbr,139580496,771000,390,UUa6JnZ7jDUQEhKd5SwbtuQQ,Brasileiro
TerasHD,82588795,458000,714,UUn4BNPzJDyxkoBgXRuOFeyA,Gringo
Aphmau,17178705694,16900000,4342,UUzYfz8uibvnB7Yc1LjePi4g,Gringo
viniccius13,915172912,5980000,513,UUiIZY89KwQkxAW-4Le7U7zg,Brasileiro
aCookieGod,636336602,4280000,146,UUIVSqoHCUN1XdEpiVItxfoQ,Gringo
AuthenticGames,8910944917,20100000,4912,UUIPA6iWNaoetaa1T46RkzXw,Brasileiro
Jakinho,96560933,650000,195,UUoulj9DH4WTKlwrjWbGIJbQ,Brasileiro
Willzy,271060182,1460000,2495,UUqjDN62GwDsdNt8R-FFJjqQ,Brasileiro
Technoblade,1630142054,16100000,989,UUFAiFyGs6oDiF1Nf-rRJpZA,Gringo
Davi,255855074,2660000,567,UUtKndmEnQyqkhOQfpi5CgvQ,Brasileiro
VenomExtreme,1119813428,6750000,2535,UUdm1fwk5iqteE0MVOBUuE8Q,Brasileiro
Forever Player,561020926,2970000,1431,UUcn0BFXHCtkqJl8CAPDj9og,Brasileiro
Skeppy,1552776156,6130000,1017,UUzMjRlKVO9XIqH_crIFpi6w,Gringo
S0ldierBr,117551683,642000,2616,UU3n5Elz1cR2lr8qF43sgZMg,Brasileiro
Forge Labs,609904625,5200000,1292,UUiSVf-UpLC9rRjAT1qRTW0g,Gringo
dayta,1660021702,6520000,271,UU_WyXJkQH4ZytSn3EufdHNA,Gringo
SpeedSilver,236950357,2810000,36,UUss_0YiNRBiQzFLt2dosZIg,Gringo
Craftee,1169271393,3820000,218,UUKGNVB2moP-zeAWPmw8HvAA,Gringo
PrestonPlayz,5604315964,14400000,876,UUJZam2u1G0syq3kyqrCXrNw,Gringo
