NOME_CANAL,VIEWS_CANAL,SUBS_CANAL,VIDEOS_CANAL,THUMBNAIL_CANAL,NATION_CANAL
Dream,2938633424,31500000,116,https://yt3.ggpht.com/ytc/AGIKgqP6edJrc45FCrXxjguz4o0NmyJ5tJCdTEI5P73bBA=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
TerasHD,81861583,459000,714,https://yt3.ggpht.com/cVv92LbPgqD-LypjXk4Hbl1_KcsM64dd9QLJ8Z602EbdXIvsKVc5A1FTJMIk_Qm5vkWsxhdRoQ=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Redzinbr,140042040,772000,390,https://yt3.ggpht.com/Ob273KMTD7FdKDQZOEevhLhwVWgwvjveDdUmFVpL4CtHO8TV1I6N2ysfEgCIzZ61HE1okfWTvfo=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Fer0m0nas,599006941,3230000,3949,https://yt3.ggpht.com/ytc/AGIKgqNcYYYIi0PF8vEYLage5mssJRuW4jXHNmD0mhbxOg=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Forge Labs,610312043,5200000,1292,https://yt3.ggpht.com/ytc/AGIKgqN6J6bOTnzus8DS8udiPRZnZ8dFPFUuCk6kevf-TQ=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Aphmau,17208018097,17000000,4345,https://yt3.ggpht.com/ytc/AGIKgqO5DkGfDdYpT_t_nMLquoTxuG2lObl6Ldl6RplDeg=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
viniccius13,915436501,5990000,513,https://yt3.ggpht.com/ytc/AGIKgqOyzASoGynw8CW1ElD4juQOVNHDQQC3C_fx-NIdhQ=s800-c-k-c0x00ffffff-no-rj,Brasileiro
aCookieGod,639937853,4300000,147,https://yt3.ggpht.com/sNsmW8cDqvLbjtdCI2rpPXpkYXFJxv7eM4tttd6kvdQSNyB60Kama-HukwSqaFVzuXqZGI_eZQ=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
AuthenticGames,8911323717,20100000,4914,https://yt3.ggpht.com/AFXkHr6exjVdAgyv3gOfg7tmICAjyEHgcdakU8aUkTTtB1Yjau8X36kx04ragAaNV4rrdjGvlA=s800-c-k-c0x00ffffff-no-rj,Brasileiro
PrestonPlayz,5612634059,14400000,878,https://yt3.ggpht.com/ytc/AGIKgqPEX8auJCkymWYtwt1ms8n1_EauDTNNZ_tqTV2ULQ=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Jakinho,97003577,652000,196,https://yt3.ggpht.com/3e3jZ7kwGUagNFePZNtSnDWnW-flYLR0VD0kYtwFASRsaE7T9PM3qSN_583_bGt3QMSjLsJBQQ=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Willzy,271311707,1460000,2497,https://yt3.ggpht.com/gmcCiKXrLeC62MzvbM6Hns9Q0sF9sU7alFWOeRCUmcfTv6RoR_pmdZnpYu3h_EcDlAN28Yf1=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Technoblade,1630931664,16100000,989,https://yt3.ggpht.com/ytc/AGIKgqPTvmmlwLyZh3XUB50fjO5gsm6kBVA0h2PIUS_pew=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Davi,255930134,2660000,567,https://yt3.ggpht.com/K8C4Ahv9fQiH2D4Rn8DFgstf7T2FO4LsMEgifYliFHNWRnM7ogfNSc-KoPJmp0hth5TZfKHdvA=s800-c-k-c0x00ffffff-no-rj,Brasileiro
VenomExtreme,1119831072,6750000,2535,https://yt3.ggpht.com/ytc/AGIKgqO9SjBDMk6vL1oKykRqvdhB7-e0EbmEANaJ1tJlsg=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Forever Player,561612733,2970000,1432,https://yt3.ggpht.com/ytc/AGIKgqM3XRsToGrBzCOcY3mdJYi5dNdG6psqSM0zB5ygqg=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Skeppy,1553217886,6130000,1019,https://yt3.ggpht.com/ytc/AGIKgqNoBOEbNJlqq75pN3rYU5V43iihl1VLz3A-Bw3__w=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
S0ldierBr,117574907,643000,2617,https://yt3.ggpht.com/ytc/AGIKgqN94SqGdFBBoZhdTI9LmW3kTfNDBPNeHcuHkHKO9A=s800-c-k-c0x00ffffff-no-rj,Brasileiro
Brunim Neet's,36734678,665000,223,https://yt3.ggpht.com/ytc/AGIKgqOHCWOtQImi8WhYseENOpKt1ayC9aIXV3dMMstSDA=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
SpeedSilver,237843394,2820000,36,https://yt3.ggpht.com/QoxobZhZa4qKpQMTo-5OtUx23XHl5_loYcnpfD1FKNQzsKEeav31RvjWpGsMQSN_AwlDByD6mJ8=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Craftee,1171649823,3820000,219,https://yt3.ggpht.com/MSoqyffWcQKdvH2EfoKaSHbLoLQCIz3WSTab72llluklhILHwlIIKn7UyVCqpOlk2nshLrTp=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
dayta,1666356938,6530000,272,https://yt3.ggpht.com/H9_TKb3qUFCk0j3NSIWPhiYudErUQBpi7ZF-BFyB7GsHKu6rp9ggNVCf6Kbj2l0UaS_K0Ir2=s800-c-k-c0x00ffffff-no-rj,Estrangeiro
Tonigon,474074125,2230000,406,https://yt3.ggpht.com/sExY7MWl0wQGH55-PAFWlAgplTf0ra013CN1fpf8yKE2ToSo1G1QhfFFDVYC61bSGA3ggvAzaA=s800-c-k-c0x00ffffff-no-rj,Brasileiro
