canal,video,data,video_view,video_like,video_comment
Brunim Neet's,QUEBREI O LIMITE DO MINECRAFT COM ESSE MÉTODO ILEGAL! STONKSCRAFT #47,2023-05-18T00:00:04Z,166260,18161,393
Brunim Neet's,FINALMENTE A ESPADA DE 13.000 MIL DE DANO! STONKSCRAFT #46,2023-05-17T00:00:12Z,135325,15146,308
Brunim Neet's,FIZ UMA LAMPADA MÁGICA E FIZ MEUS DESEJOS! STONKSCRAFT #45,2023-05-14T14:00:02Z,146513,16024,187
Brunim Neet's,VIREI O NOVO BOSS DO MINECRAFT COM ESSE ITEM ILEGAL! STONKSCRAFT #44,2023-05-12T00:00:07Z,173753,19637,393
Brunim Neet's,MEU CASTELO SE TORNOU INDESTRUTÍVEL POR ISSO... STONKSCRAFT #43,2023-05-09T00:00:26Z,148349,16136,252
Brunim Neet's,COMO CONSEGUI MINHA BASE COLOSSAL DE VOLTA! STONKSCRAFT #42,2023-05-08T00:00:02Z,154393,17361,237
Brunim Neet's,A REVOLUÇÃO DAS MÁQUINAS NO NOVO GOVERNO! STONKSCRAFT #41,2023-05-06T00:00:31Z,178135,19753,438
Brunim Neet's,COMO QUEBREI O LIMITE DE VIDA DO MINECRAFT😈! STONKSCRAFT #40,2023-05-04T00:00:12Z,184927,20971,580
Brunim Neet's,ROUBEI TODA A BASE SECRETA DO FOREVER 😈! STONKSCRAFT #39,2023-05-02T23:00:15Z,188183,20568,499
Brunim Neet's,VOU INVADIR A BASE SECRETA DO FOREVER! STONKSCRAFT #38,2023-04-30T23:00:31Z,196610,20177,557
Brunim Neet's,ME PREPARANDO PARA A GUERRA DURANTE 24 HORAS! STONKSCRAFT #37,2023-04-29T00:00:16Z,190054,20817,533
Brunim Neet's,ELE FUGIU ENTÃO TIVE QUE USAR MEU PLANO B! STONKSCRAFT #36,2023-04-27T00:00:09Z,194083,22741,568
Brunim Neet's,PRENDI O FOREVER O JOGADOR MAIS CORRUPTO DO SERVIDOR! STONKSCRAFT #35,2023-04-26T00:00:23Z,179579,22933,528
Brunim Neet's,COMO CRIEI A ARMA MAIS FORTE PARA PRENDER ELES! STONKSCRAFT #34,2023-04-25T00:00:04Z,170692,18903,390
Brunim Neet's,MEU PLANO PARA PRENDER TODO O GOVERNO! STONKSCRAFT #33,2023-04-23T23:00:13Z,176986,21067,650
Brunim Neet's,FIZ UM MAR COLOSSAL FEITO SANGUE! STONKSCRAFT #32,2023-04-22T23:00:00Z,146895,17730,280
Brunim Neet's,EU FUI AMALDIÇOADO... E FIQUEI MUITO FORTE POR ISSO 😱 STONKSCRAFT #31,2023-04-19T23:30:10Z,198633,20965,409
Brunim Neet's,QUASE DESTRUÍ O SERVIDOR INTEIRO COM ESSA ARMA NUCLEAR! STONKSCRAFT #30,2023-04-18T00:00:15Z,173858,20296,330
Brunim Neet's,COMO SEQUEI TODA A ÁGUA DO SERVIDOR! STONKSCRAFT #29,2023-04-16T23:00:08Z,174080,20122,311
Brunim Neet's,DESTRUÍ A MAIOR CONSTRUÇÃO DO SERVIDOR! 😈 STONKSCRAFT #28,2023-04-15T23:00:05Z,189227,20649,377
